id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
136418,Hummingbird,8352885.0,100.0,20000000.0,Hummingbird,2013.0,5.0,0,0,0,0,1,6.379370026486594,1142.2743673056366,72054.45668991917,6.504537999635998,4.130094085100706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16.811242881518265,7.041651676376745,0
68427,Daughters of the Dust,1642436.0,112.0,800000.0,Daughters of the Dust,1991.0,1.0,0,0,0,0,0,6.39529138491017,413.4062472202497,28845.89957268646,6.756926134368474,3.282083926778492,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,13.592368256649284,6.026846766170082,0
245846,Strangerland,111107.0,111.0,10000000.0,Strangerland,2015.0,7.0,0,0,0,0,0,6.501562786196666,1040.710161021394,68941.5423269006,6.713241982012122,4.081980802300026,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,16.118095750958314,6.948619027211232,0
12184,The Other Boleyn Girl,78269970.0,115.0,35000000.0,The Other Boleyn Girl,2008.0,2.0,0,0,0,1,4,6.47183803485549,589.5548576795431,42082.7395571366,6.769633386171897,3.609553493500704,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,17.370858648025116,6.38106253171117,0
43475,Gumby: The Movie,57100.0,91.0,2800000.0,Gumby: The Movie,1995.0,10.0,0,0,0,0,0,6.365735107802799,1281.1411389693371,55059.34455078796,6.635774074499745,4.1816555169885365,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,14.845130332288226,7.156286724220643,0
16996,17 Again,136300000.0,102.0,20000000.0,17 Again,2009.0,3.0,0,0,0,1,1,6.289047209489276,879.1377050189377,50288.32142226922,6.555193027523995,3.90437282328756,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,16.811242881518265,6.780078378206134,0
24150,Halloween II,39421467.0,105.0,10000000.0,Halloween II,2009.0,8.0,0,0,0,2,1,6.185996417129173,897.8967590872847,50558.37361485608,6.022764299631091,4.267161577861959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,16.118095750958314,6.801168188152101,0
308,Broken Flowers,46720491.0,106.0,10000000.0,Broken Flowers,2005.0,7.0,1,0,0,0,1,6.399125537194182,669.05259029932,45479.99585757333,6.685007162065659,3.764619652561352,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,16.118095750958314,6.507356202288658,0
228161,Home,368871007.0,94.0,135000000.0,Home,2015.0,3.0,0,0,0,0,0,6.251375138546577,1796.444794723138,82342.0702754716,6.430677996881732,5.002478613835984,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,18.72078534381011,7.494121376869406,0
1195506,Novocaine,34208050.0,110.0,18000000.0,Novocaine,2025.0,3.0,0,0,0,0,1,6.28081122183742,1151.5601385872003,67061.56258266207,6.436826249821714,4.379964095657042,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16.705882371415992,7.049740954496148,0
